URL,Field1,Field2,Field4,Field5,Field6
"https://www.glassdoor.com/Overview/Working-at-Descartes-Underwriting-EI_IE4221338.11,33.htm",4.9 ★,Descartes Underwriting,"Insurance Agencies & Brokerages
51 to 200 Employees","Headquarters near Paris, France",14 Reviews24 Salaries26 Jobs
"https://www.glassdoor.com/Overview/Working-at-Devoteam-EI_IE12966.11,19.htm",3.9 ★,Devoteam,"Information Technology Support Services
10K+ Employees","Headquarters near Levallois-Perret, France",2K Reviews3K Salaries434 Jobs
,5.0 ★,Dfns,,,
"https://www.glassdoor.com/Overview/Working-at-Doctrine-EI_IE1941439.11,19.htm",4.8 ★,Doctrine,"Internet & Web Services
51 to 200 Employees","Headquarters near Paris, France",73 Reviews64 Salaries11 Jobs
"https://www.glassdoor.com/Overview/Working-at-Dott-EI_IE2862020.11,15.htm",3.6 ★,Dott,"Computer Hardware Development
501 to 1K Employees","Headquarters near Amsterdam, Netherlands",69 Reviews147 Salaries40 Jobs
"https://www.glassdoor.com/Overview/Working-at-Dougs-Compta-EI_IE4356870.11,23.htm",3.5 ★,Dougs Compta,51 to 200 Employees,"Headquarters near Lyon, France",13 Reviews23 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-D%C3%A9kuple-EI_IE1260569.11,18.htm",4.3 ★,Dékuple,"Advertising & Public Relations
501 to 1K Employees","Headquarters near Montreuil, France",30 Reviews58 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-EDF-EI_IE324360.11,14.htm",4.1 ★,EDF,"Energy & Utilities
10K+ Employees","Headquarters near Paris, France",4K Reviews7K Salaries1K Jobs
"https://www.glassdoor.com/Overview/Working-at-Elis-EI_IE996747.11,15.htm",3.4 ★,Elis,"Consumer Product Rental
1K to 5K Employees","Headquarters near Basingstoke, United Kingdom",714 Reviews1K Salaries853 Jobs
"https://www.glassdoor.com/Overview/Working-at-E-P-and-L-P-EI_IE1473171.11,22.htm",4.2 ★,E.P. & L.P.,Restaurants & Cafes,"Headquarters near Los Angeles, CA",5 Reviews12 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-EPSILON-France-EI_IE6295428.11,25.htm",3.6 ★,EPSILON (France),1 to 50 Employees,"Headquarters near Plan-d'Orgon, France",14 Reviews22 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-EDENS-EI_IE24321.11,16.htm",3.2 ★,EDENS,"Real Estate
201 to 500 Employees","Headquarters near Washington, DC",54 Reviews69 Salaries4 Jobs
"https://www.glassdoor.com/Overview/Working-at-Expertime-EI_IE1061225.11,20.htm",4.0 ★,Expertime,"Information Technology Support Services
51 to 200 Employees","Headquarters near Viroflay, France",51 Reviews101 Salaries7 Jobs
"https://www.glassdoor.com/Overview/Working-at-Extia-EI_IE464698.11,16.htm",4.0 ★,Extia,"Business Consulting
1K to 5K Employees","Headquarters near Sèvres, France",731 Reviews896 Salaries392 Jobs
"https://www.glassdoor.com/Overview/Working-at-EY-EI_IE2784.11,13.htm",3.9 ★,EY,"Accounting & Tax
10K+ Employees","Headquarters near New York, NY",74K Reviews147K Salaries9K Jobs
"https://www.glassdoor.com/Overview/Working-at-Easy-Consult-EI_IE937240.11,23.htm",3.6 ★,Easy Consult,"HR Consulting
201 to 500 Employees","Headquarters near Sofia, Bulgaria",4 Reviews10 Salaries8 Jobs
"https://www.glassdoor.com/Overview/Working-at-EasyMile-EI_IE2363680.11,19.htm",3.9 ★,EasyMile,"Computer Hardware Development
51 to 200 Employees","Headquarters near Toulouse, France",34 Reviews62 Salaries25 Jobs
